Date,Open,High,Low,Close,Adj Close,Volume
2017-07-10,25207.250000,25277.289063,25184.539063,25227.300781,25227.300781,0
2017-07-11,25219.519531,25260.589844,25088.640625,25229.449219,25229.449219,0
2017-07-12,25348.900391,25439.300781,25348.900391,25411.009766,25411.009766,0
2017-07-13,25431.210938,25464.960938,25378.669922,25456.980469,25456.980469,0
2017-07-14,25462.109375,25615.080078,25446.199219,25569.929688,25569.929688,0
2017-07-17,25566.220703,25615.390625,25544.519531,25577.500000,25577.500000,0
2017-07-18,25538.800781,25589.330078,25485.460938,25587.720703,25587.720703,0
2017-07-19,25617.019531,25728.980469,25617.019531,25728.679688,25728.679688,0
2017-07-20,25759.730469,25768.000000,25675.759766,25728.630859,25728.630859,0
2017-07-21,25695.369141,25713.160156,25648.390625,25711.949219,25711.949219,0
2017-07-24,25707.339844,25783.230469,25669.990234,25766.199219,25766.199219,0
2017-07-25,25799.039063,25843.679688,25767.949219,25806.189453,25806.189453,0
2017-07-26,25756.470703,25756.470703,25683.220703,25705.859375,25705.859375,0
2017-07-27,25840.169922,25845.720703,25593.269531,25748.800781,25748.800781,0
2017-07-28,25689.310547,25726.419922,25649.650391,25711.990234,25711.990234,0
2017-07-31,25746.220703,25763.039063,25651.320313,25685.189453,25685.189453,0
2017-08-01,25773.160156,25784.419922,25703.669922,25755.580078,25755.580078,0
2017-08-02,25790.699219,25790.699219,25619.910156,25731.929688,25731.929688,0
2017-08-03,25701.140625,25704.669922,25620.509766,25652.830078,25652.830078,0
2017-08-04,25701.869141,25730.220703,25654.970703,25710.109375,25710.109375,0
2017-08-07,25713.179688,25747.550781,25692.050781,25745.390625,25745.390625,0
2017-08-08,25707.310547,25848.330078,25622.710938,25670.039063,25670.039063,0
2017-08-09,25560.589844,25638.550781,25534.160156,25634.289063,25634.289063,0
2017-08-10,25524.289063,25534.039063,25248.119141,25251.880859,25251.880859,0
2017-08-11,25239.580078,25348.089844,25239.580078,25291.140625,25291.140625,0
2017-08-14,25441.939453,25574.279297,25441.939453,25547.519531,25547.519531,0
2017-08-15,25580.929688,25580.929688,25490.279297,25510.710938,25510.710938,0
2017-08-16,25561.189453,25624.210938,25507.669922,25546.699219,25546.699219,0
2017-08-17,25482.470703,25518.480469,25154.269531,25154.269531,25154.269531,0
2017-08-18,25115.669922,25248.519531,25048.380859,25107.810547,25107.810547,0
2017-08-21,25117.330078,25158.669922,25030.070313,25137.400391,25137.400391,0
2017-08-22,25125.759766,25408.419922,25125.759766,25386.439453,25386.439453,0
2017-08-23,25272.449219,25369.210938,25270.939453,25319.630859,25319.630859,0
2017-08-24,25369.880859,25393.210938,25262.310547,25283.880859,25283.880859,0
2017-08-25,25351.679688,25430.339844,25320.000000,25334.830078,25334.830078,0
2017-08-28,25390.019531,25395.710938,25289.070313,25346.060547,25346.060547,0
2017-08-29,25180.099609,25378.960938,25162.320313,25352.050781,25352.050781,0
2017-08-30,25359.689453,25520.339844,25341.410156,25496.810547,25496.810547,0
2017-08-31,25556.619141,25691.460938,25555.849609,25657.960938,25657.960938,0
2017-09-01,25693.460938,25748.210938,25679.789063,25717.289063,25717.289063,0
2017-09-05,25661.880859,25687.080078,25407.460938,25524.660156,25524.660156,0
2017-09-06,25590.080078,25637.990234,25529.220703,25595.699219,25595.699219,0
2017-09-07,25615.560547,25623.859375,25525.710938,25576.250000,25576.250000,0
2017-09-08,25541.550781,25592.789063,25515.339844,25536.410156,25536.410156,0
2017-09-11,25685.550781,25821.910156,25685.550781,25810.109375,25810.109375,0
2017-09-12,25860.730469,25910.160156,25842.339844,25910.160156,25910.160156,0
2017-09-13,25870.119141,25920.800781,25856.750000,25920.800781,25920.800781,0
2017-09-14,25878.599609,25926.679688,25844.990234,25896.910156,25896.910156,0
2017-09-15,25893.160156,25940.449219,25867.250000,25939.460938,25939.460938,0
2017-09-18,25938.419922,26003.529297,25922.720703,25962.279297,25962.279297,0
2017-09-19,26021.910156,26033.750000,25988.650391,26023.230469,26023.230469,0
2017-09-20,26022.839844,26058.810547,25942.949219,26050.029297,26050.029297,0
2017-09-21,26032.390625,26037.640625,25960.869141,25982.109375,25982.109375,0
2017-09-22,25941.460938,26016.039063,25941.460938,26001.279297,26001.279297,0
2017-09-25,25975.259766,26018.949219,25871.769531,25956.869141,25956.869141,0
2017-09-26,25991.750000,26020.929688,25945.439453,25967.050781,25967.050781,0
2017-09-27,26054.539063,26161.380859,25967.189453,26114.740234,26114.740234,0
2017-09-28,26090.089844,26147.869141,26055.949219,26143.869141,26143.869141,0
2017-09-29,26140.849609,26237.019531,26133.890625,26233.339844,26233.339844,0
2017-10-02,26244.720703,26356.259766,26241.070313,26356.259766,26356.259766,0
2017-10-03,26353.369141,26426.970703,26353.369141,26425.210938,26425.210938,0
2017-10-04,26389.960938,26465.419922,26373.570313,26429.839844,26429.839844,0
2017-10-05,26478.589844,26591.480469,26473.560547,26587.289063,26587.289063,0
2017-10-06,26517.759766,26553.169922,26496.029297,26548.890625,26548.890625,0
2017-10-09,26574.880859,26586.119141,26468.369141,26496.820313,26496.820313,0
2017-10-10,26563.630859,26615.019531,26505.349609,26561.349609,26561.349609,0
2017-10-11,26552.369141,26602.119141,26533.789063,26602.119141,26602.119141,0
2017-10-12,26579.179688,26607.099609,26538.029297,26559.349609,26559.349609,0
2017-10-13,26609.890625,26628.199219,26566.119141,26577.929688,26577.929688,0
2017-10-16,26620.410156,26641.500000,26564.699219,26610.210938,26610.210938,0
2017-10-17,26606.789063,26623.089844,26572.830078,26611.220703,26611.220703,0
2017-10-18,26654.080078,26668.060547,26620.269531,26635.380859,26635.380859,0
2017-10-19,26534.900391,26639.890625,26481.109375,26639.890625,26639.890625,0
2017-10-20,26719.810547,26778.240234,26711.900391,26769.730469,26769.730469,0
2017-10-23,26800.019531,26800.019531,26655.630859,26667.189453,26667.189453,0
2017-10-24,26688.199219,26725.740234,26661.189453,26691.820313,26691.820313,0
2017-10-25,26662.619141,26670.699219,26410.160156,26553.880859,26553.880859,0
2017-10-26,26608.730469,26654.419922,26579.570313,26598.630859,26598.630859,0
2017-10-27,26682.560547,26828.099609,26641.410156,26817.339844,26817.339844,0
2017-10-30,26780.650391,26800.960938,26668.150391,26702.970703,26702.970703,0
2017-10-31,26735.919922,26794.300781,26708.820313,26760.189453,26760.189453,0
2017-11-01,26864.820313,26913.480469,26740.660156,26797.259766,26797.259766,0
2017-11-02,26755.660156,26791.230469,26641.039063,26776.519531,26776.519531,0
2017-11-03,26809.050781,26879.800781,26764.089844,26875.000000,26875.000000,0
2017-11-06,26839.480469,26923.369141,26834.460938,26900.449219,26900.449219,0
2017-11-07,26906.140625,26951.570313,26797.390625,26855.160156,26855.160156,0
2017-11-08,26819.560547,26904.589844,26793.480469,26892.529297,26892.529297,0
2017-11-09,26743.189453,26818.660156,26594.949219,26781.029297,26781.029297,0
2017-11-10,26735.689453,26795.140625,26713.500000,26774.359375,26774.359375,0
2017-11-13,26693.880859,26818.009766,26685.509766,26789.880859,26789.880859,0
2017-11-14,26696.009766,26728.630859,26612.570313,26719.189453,26719.189453,0
2017-11-15,26586.039063,26661.550781,26487.019531,26582.460938,26582.460938,0
2017-11-16,26689.099609,26895.509766,26689.099609,26850.880859,26850.880859,0
2017-11-17,26791.630859,26831.919922,26771.410156,26790.380859,26790.380859,0
2017-11-20,26800.330078,26880.150391,26794.710938,26862.419922,26862.419922,0
2017-11-21,26923.250000,27029.169922,26923.250000,27019.990234,27019.990234,0
2017-11-22,27033.679688,27046.160156,26992.550781,27008.300781,27008.300781,0
2017-11-24,27050.939453,27070.560547,27042.119141,27058.830078,27058.830078,0
2017-11-27,27056.220703,27097.839844,27011.300781,27032.689453,27032.689453,0
2017-11-28,27073.050781,27299.109375,27064.429688,27296.220703,27296.220703,0
2017-11-29,27314.779297,27388.710938,27231.599609,27290.130859,27290.130859,0
2017-11-30,27380.550781,27594.830078,27378.929688,27493.380859,27493.380859,0
2017-12-01,27482.039063,27529.900391,27048.339844,27448.009766,27448.009766,0
2017-12-04,27615.669922,27705.039063,27405.669922,27407.099609,27407.099609,0
2017-12-05,27410.689453,27497.470703,27278.810547,27292.550781,27292.550781,0
2017-12-06,27250.650391,27318.869141,27233.830078,27267.419922,27267.419922,0
2017-12-07,27250.970703,27413.699219,27240.720703,27381.289063,27381.289063,0
2017-12-08,27482.740234,27529.779297,27446.089844,27516.669922,27516.669922,0
2017-12-11,27526.980469,27595.560547,27526.429688,27594.289063,27594.289063,0
2017-12-12,27608.619141,27682.830078,27593.039063,27619.839844,27619.839844,0
2017-12-13,27646.539063,27718.019531,27621.640625,27626.810547,27626.810547,0
2017-12-14,27616.330078,27683.880859,27498.099609,27503.089844,27503.089844,0
2017-12-15,27491.250000,27790.070313,27491.250000,27734.320313,27734.320313,0
2017-12-18,27820.160156,27911.830078,27820.160156,27871.810547,27871.810547,0
2017-12-19,27958.390625,27964.240234,27813.880859,27821.939453,27821.939453,0
2017-12-20,27915.089844,27919.330078,27767.880859,27808.429688,27808.429688,0
2017-12-21,27853.220703,27946.539063,27837.660156,27876.699219,27876.699219,0
2017-12-22,27874.029297,27874.550781,27812.289063,27864.839844,27864.839844,0
2017-12-26,27817.019531,27870.689453,27817.019531,27850.169922,27850.169922,0
2017-12-27,27863.640625,27905.859375,27834.150391,27864.589844,27864.589844,0
2017-12-28,27898.869141,27923.810547,27860.000000,27920.949219,27920.949219,0
2017-12-29,27955.490234,27969.890625,27785.720703,27794.169922,27794.169922,0
2018-01-02,27892.119141,27991.179688,27841.150391,27991.179688,27991.179688,0
2018-01-03,28046.750000,28195.369141,28046.560547,28181.099609,28181.099609,0
2018-01-04,28251.949219,28320.910156,28245.300781,28273.220703,28273.220703,0
2018-01-05,28360.990234,28450.990234,28312.570313,28440.550781,28440.550781,0
2018-01-08,28443.919922,28515.859375,28382.509766,28503.519531,28503.519531,0
2018-01-09,28559.849609,28622.029297,28511.380859,28543.949219,28543.949219,0
2018-01-10,28452.330078,28536.449219,28381.539063,28507.080078,28507.080078,0
2018-01-11,28566.179688,28749.099609,28561.990234,28749.099609,28749.099609,0
2018-01-12,28771.380859,28932.470703,28767.630859,28917.669922,28917.669922,0
2018-01-16,29063.269531,29129.289063,28710.470703,28782.320313,28782.320313,0
